fecha_extraccion,titular,tema,tokens,url
2026-01-25,"ONPE gastará S/29 millones para la franja electoral de Perú Libre, Fuerza Popular y otros 6 partidos del Congreso",Instituciones electorales,onpe gastará s29 millones franja electoral perú libre fuerza popular otros partidos congreso,https://larepublica.pe/politica/2026/01/21/onpe-gastara-s29-millones-para-la-franja-electoral-de-peru-libre-fuerza-popular-y-otros-6-partidos-del-congreso-hnews-1285158
2026-01-25,"Alfonso López-Chau: “Quiero ganar en primera vuelta, es la única oportunidad y estoy convencido”",Alfonso López-Chau,alfonso lópezchau quiero ganar primera vuelta única oportunidad estoy convencido,https://larepublica.pe/politica/2026/01/21/alfonso-lopezchau-quiero-ganar-en-primera-vuelta-es-la-unica-oportunidad-y-estoy-convencido-hnews-2028138
2026-01-25,"Mario Vizcarra tras fallo del JNE a su favor: ""A esos detractores, vamos a la cancha el 12 de abril""",Mario Vizcarra,mario vizcarra fallo jne favor esos detractores vamos cancha abril,https://larepublica.pe/politica/2026/01/16/mario-vizcarra-tras-fallo-del-jne-a-su-favor-a-esos-detractores-vamos-a-la-cancha-el-12-de-abril-elecciones-2026-hnews-1069344
2026-01-25,Carlos Álvarez: informe del JEE alerta que habría omitido información por sentencia de corrupción,Carlos Álvarez,carlos álvarez informe jee alerta habría omitido información sentencia corrupción,https://larepublica.pe/politica/2026/01/18/carlos-alvarez-informe-del-jee-alerta-que-habria-omitido-informacion-por-sentencia-de-corrupcion-elecciones-2026-peru-hnews-1418832
2026-01-25,¿Quién es Absalón Vásquez? Conoce al sentenciado exministro de Fujimori que postula al Senado,Keiko Fujimori,quién absalón vásquez conoce sentenciado exministro fujimori postula senado,https://larepublica.pe/politica/2026/01/16/eleccciones-2026-renovacion-popular-quien-es-absalon-vasquez-conoce-al-sentenciado-exministro-de-fujimori-que-postula-al-senado-hnews-1327760
2026-01-25,Candidatos al Senado de Perú Moderno fuera de carrera electoral: JNE declaró infundada su apelación para inscribirse,Instituciones electorales,candidatos senado perú moderno fuera carrera electoral jne declaró infundada apelación inscribirse,https://larepublica.pe/politica/2026/01/25/candidatos-al-senado-de-peru-moderno-fuera-de-carrera-electoral-jne-declaro-infundada-su-apelacion-para-inscribirse-hnews-1805950
2026-01-25,Elecciones 2026: ¿Qué es la valla electoral y cómo funciona?,Otros,elecciones 2026 qué valla electoral cómo funciona,https://larepublica.pe/politica/2026/01/25/elecciones-2026-que-es-la-valla-electoral-y-como-funciona-426400
2026-01-25,Congresistas que van a la reelección multiplicaron hasta en 127 veces el valor de su patrimonio,Otros,congresistas van reelección multiplicaron hasta 127 veces valor patrimonio,https://larepublica.pe/politica/2026/01/25/elecciones-2026-congresistas-que-van-a-la-reeleccion-multiplicaron-hasta-en-127-veces-el-valor-de-su-patrimonio-hnews-1231978
2026-01-25,Jorge del Castillo y Carla García continúan en carrera: JEE declara infundada tacha contra lista de senadores del APRA,Otros,jorge castillo carla garcía continúan carrera jee declara infundada tacha contra lista senadores apra,https://larepublica.pe/politica/2026/01/23/jorge-del-castillo-y-carla-garcia-continuan-en-carrera-jee-declara-infundada-tacha-contra-lista-de-senadores-del-apra-hnews-2275620
2026-01-25,Estados Unidos NO compró la base naval del Callao por US$1.500 millones: en realidad se trata de un acuerdo para modernizar la instalación,Otros,estados unidos compró base naval callao us1500 millones realidad trata acuerdo modernizar instalación,https://larepublica.pe/verificador/2026/01/24/estados-unidos-no-compro-la-base-naval-del-callao-por-us1500-millones-en-realidad-se-trata-de-un-acuerdo-para-modernizar-la-instalacion-1458456
2026-01-25,Leonela Labra de Ahora Nación difundió una encuesta falsa que la coloca en primer lugar en Cusco,Otros,leonela labra ahora nación difundió encuesta falsa coloca primer lugar cusco,https://larepublica.pe/verificador/2026/01/24/leonela-labra-de-ahora-nacion-difundio-una-encuesta-falsa-que-la-coloca-en-primer-lugar-en-cusco-1832424
2026-01-25,"Es falso que en el Perú no se explore ni explote petróleo, como señaló Pedro Cateriano",Otros,falso perú explore explote petróleo señaló pedro cateriano,https://larepublica.pe/verificador/2026/01/22/es-falso-que-en-el-peru-no-se-explore-ni-explote-petroleo-como-senalo-pedro-cateriano-803858
2026-01-25,Estados Unidos NO ha impuesto el dólar como moneda oficial en Venezuela: información difundida en redes carece de fuentes,Otros,estados unidos impuesto dólar moneda oficial venezuela información difundida redes carece fuentes,https://larepublica.pe/verificador/2026/01/22/estados-unidos-no-ha-impuesto-el-dolar-como-moneda-oficial-en-venezuela-informacion-difundida-en-redes-carece-de-fuentes-995852
2026-01-25,"Rafael López Aliaga dijo que los Hospitales de la Solidaridad “tienen grado 5”, pero es falso",Rafael López Aliaga,rafael lópez aliaga dijo hospitales solidaridad tienen grado falso,https://perucheck.pe/articles/verificadas/renovacion-popular/2026/01/23/rafael-lopez-aliaga-dijo-que-los-hospitales-de-la-solidaridad-tienen-grado-5-pero-es-falso-1424984
2026-01-25,Leonela Labra difunde encuesta fabricada que la pone en primer lugar en Cusco,Otros,leonela labra difunde encuesta fabricada pone primer lugar cusco,https://perucheck.pe/articles/verificadas/ahora-nacion/2026/01/23/leonela-labra-difunde-encuesta-fabricada-que-la-pone-en-primer-lugar-en-cusco-2243098
2026-01-25,¿Lapiceros cuya tinta se borra después de votar?,Otros,lapiceros cuya tinta borra después votar,https://perucheck.pe/articles/verificadas/2026/01/22/lapiceros-cuya-tinta-se-borra-despues-de-votar-1761628
2026-01-25,"Es impreciso que casi la mitad del Perú no tenga Internet ni luz, como afirmó el candidato Paul Jaimes",Otros,impreciso casi mitad perú tenga internet luz afirmó candidato paul jaimes,https://perucheck.pe/articles/verificadas/progresemos/2026/01/22/es-impreciso-que-casi-la-mitad-del-peru-no-tenga-internet-ni-luz-como-afirmo-el-candidato-paul-jaimes-1496616
2026-01-25,Elecciones en Perú:  ¿cuándo se celebrarán los comicios generales de abril 2026?,Otros,elecciones perú cuándo celebrarán comicios generales abril 2026,https://larepublica.pe/politica/2025/03/25/dina-boluarte-convoca-elecciones-presidenciales-para-el-12-de-abril-de-2026-hnews-1996050
2026-01-25,¿Cándo es la fecha oficial de sorteo de miembros de mesa y de cuánto es el pago?,Otros,cándo fecha oficial sorteo miembros mesa cuánto pago,https://larepublica.pe/sociedad/2025/07/11/elecciones-generales-2026-cuando-es-la-fecha-oficial-de-sorteo-de-miembros-de-mesa-y-cual-sera-el-pago-717680
2026-01-25,¿Quiénes no podrán participar en la carrera electoral para llegar a Palacio de Gobierno?,Otros,quiénes podrán participar carrera electoral llegar palacio gobierno,https://larepublica.pe/politica/2025/05/29/elecciones-2026-las-figuras-presidenciables-que-ya-no-podran-participar-en-la-carrera-electoral-para-llegar-a-palacio-de-gobierno-hnews-704613
